id,country,visa_category,form_name,form_id,description,governing_authority,official_source_url,discovered_by_query,downloaded_file_path,document_format,processing_status,created_at,updated_at,validation_warnings,validation_warnings_count,lawyer_review_status,lawyer_reviewer_name,lawyer_review_date,lawyer_review_comments,target_applicants,submission_method,processing_time,fees,language,required_field_1_name,required_field_1_type,required_field_1_description,required_field_1_example,required_field_2_name,required_field_2_type,required_field_2_description,required_field_2_example,required_field_3_name,required_field_3_type,required_field_3_description,required_field_3_example,required_field_4_name,required_field_4_type,required_field_4_description,required_field_4_example,required_field_5_name,required_field_5_type,required_field_5_description,required_field_5_example,required_field_6_name,required_field_6_type,required_field_6_description,required_field_6_example,required_field_7_name,required_field_7_type,required_field_7_description,required_field_7_example,required_field_8_name,required_field_8_type,required_field_8_description,required_field_8_example,required_field_9_name,required_field_9_type,required_field_9_description,required_field_9_example,required_field_10_name,required_field_10_type,required_field_10_description,required_field_10_example,supporting_documents,supporting_documents_count,extracted_text_length,document_filename,document_file_format,document_file_size_bytes,document_cloudinary_url
29,USA,Work Visa,Rights and Protections for Temporary Workers,,Information regarding the rights and protections available to temporary workers in the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/wilberforce-english.html,USA department of home affairs Work Visa visa information,downloads/usa/batch_process/wilberforce-english.html,HTML,validated_with_warnings,2025-07-23 10:10:01.993029,2025-07-23 10:10:01.993029,Missing required information: fees associated with temporary work visas not mentioned; Processing times for visa applications not specified; Submission methods for applications not detailed; No specific contact information provided for relevant agencies and organizations,4,Pending Review,,,,Temporary workers seeking information about their rights and protections in the U.S.,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38381,wilberforce-english.html,HTML,216711,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265386/immigration_documents/originals/usa/batch_process/wilberforce-english.html
28,USA,Immigrant Visa,Immigrant Visa Application,,Application process for various immigrant visas to the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/immigrate.html,USA Work Visa visa application process official site,downloads/usa/batch_process/immigrate.html,HTML,validated_with_warnings,2025-07-23 10:09:44.431107,2025-07-23 10:09:44.431107,Missing required information: fees for visa applications not specified; Processing times for each visa category not provided; Submission methods for visa applications unclear; No specific forms or detailed instructions included in the document,4,Pending Review,,,,Individuals seeking to immigrate to the United States or sponsor someone for immigration.,Online or through U.S. Embassies and Consulates,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4298,immigrate.html,HTML,92299,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265366/immigration_documents/originals/usa/batch_process/immigrate.html
27,USA,Immigrant Visa,Civil Documents Collection,,Guidelines for collecting civil documents required for the immigrant visa application process.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/immigrate/the-immigrant-visa-process/step-5-collect-financial-evidence-and-other-supporting-documents/step-7-collect-civil-documents.html,USA Work Visa visa supporting documents government,downloads/usa/batch_process/step-7-collect-civil-documents.html,HTML,validated_with_warnings,2025-07-23 10:09:24.939613,2025-07-23 10:09:24.939613,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,Individuals applying for an immigrant visa and their family members.,Online via CEAC,,,English,Birth Certificate,text,Original or certified copy of the birth certificate for each family member.,Certified copy of birth certificate,Marriage Certificate,text,Original or certified copies of all marriage certificates.,Certified copy of marriage certificate,Adoption Decree,text,Certified copy of the adoption decree if applicable.,Certified adoption decree,Court and Prison Records,text,Certified copies of court and prison records for any convictions.,Certified court record,Military Records,text,Photocopy of military records if applicable.,Photocopy of military record,Police Certificates,text,Photocopy of police certificates from all countries lived in for more than 6 months if aged 16 or older.,Police certificate from country of residence,Photocopy of Valid Passport Biographic Data Page,text,Photocopy of the biographic data page of a currently valid passport for each family member.,Photocopy of passport biographic data page,,,,,,,,,,,,,"Certified translations for documents not in English; Final legal divorce decree, death certificate, or annulment papers for marriage termination; Custody documents if applicable",3,8692,step-7-collect-civil-documents.html,HTML,107711,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265332/immigration_documents/originals/usa/batch_process/step-7-collect-civil-documents.html
26,USA,NATO Visa,Visas for Employees of International Organizations and NATO,,Information regarding visa requirements for employees of international organizations and NATO personnel working in the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/other-visa-categories/visa-employees-nato.html,USA embassy Work Visa visa application,downloads/usa/batch_process/visa-employees-nato.html,HTML,validated_with_warnings,2025-07-23 10:08:50.338940,2025-07-23 10:08:50.338940,Fee amount missing; Processing time not specified; Submission method unclear; No specific documentation requirements listed for each visa type,4,Pending Review,,,,Employees of international organizations and NATO personnel,Online or through U.S. embassies/consulates,,,English,Visa Type,text,"Type of visa being applied for (G-1, G-2, G-3, G-4, NATO-1, NATO-2, etc.)",G-1,Purpose of Travel,text,"Reason for traveling to the United States (e.g., attending meetings, working at an organization)",Attend meetings at a designated international organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passport; Official military identification card (for NATO personnel); NATO travel orders (for NATO personnel),3,28300,visa-employees-nato.html,HTML,139731,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265305/immigration_documents/originals/usa/batch_process/visa-employees-nato.html
25,USA,Various Visa Categories,Directory of Visa Categories,,A comprehensive directory providing information on various visa categories available for entry into the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/all-visa-categories.html,USA embassy Work Visa visa application,downloads/usa/batch_process/all-visa-categories.html,HTML,validated_with_warnings,2025-07-23 10:08:23.734589,2025-07-23 10:08:23.734589,Fees for each visa category not specified; Processing times for visa applications not mentioned; Submission methods for visa applications unclear; No specific details on required civil documents for each visa category,4,Pending Review,,,,"Individuals seeking information on U.S. visa categories for travel, work, study, or immigration.",,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17003,all-visa-categories.html,HTML,186217,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265283/immigration_documents/originals/usa/batch_process/all-visa-categories.html
24,USA,Employment-Based Immigrant Visa,Immigrant Petition for Alien Worker,I-140,This form is used to petition for an immigrant visa under employment-based categories.,U.S. Citizenship and Immigration Services (USCIS),https://travel.state.gov/content/travel/en/us-visas/immigrate/employment-based-immigrant-visas.html,USA embassy Work Visa visa application,downloads/usa/batch_process/employment-based-immigrant-visas.html,HTML,validated_with_warnings,2025-07-23 10:08:01.150713,2025-07-23 10:08:01.150713,Fee amount missing; Processing time not specified; Submission method unclear; Information on family members receiving visas is vague; Details on medical examinations and vaccinations are not specified,5,Pending Review,,,,Individuals seeking employment-based immigrant visas in the U.S.,Mail to USCIS or online through USCIS website,"Varies, typically several months",$700 (as of current fee schedule),English,Employer Information,text,Details about the employer filing the petition.,"ABC Corporation, 123 Main St, Anytown, USA",Beneficiary Information,text,Information about the individual for whom the petition is being filed.,"John Doe, 456 Elm St, Othertown, USA",Job Offer Details,text,"Details of the job offer including title, duties, and salary.","Software Engineer, Develop software applications, $100,000/year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Labor Certification (if required); Evidence of qualifications (degrees, experience); Job offer letter from employer; Form I-140 filing fee",4,25444,employment-based-immigrant-visas.html,HTML,130366,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265249/immigration_documents/originals/usa/batch_process/employment-based-immigrant-visas.html
23,USA,Work Visa,Visa Wizard,,An interactive tool to help users determine the appropriate visa category for their travel to the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/wizard.html,USA embassy Work Visa visa application,downloads/usa/batch_process/wizard.html,HTML,validated_with_warnings,2025-07-23 10:07:27.042783,2025-07-23 10:07:27.042783,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,Individuals seeking to apply for a visa to the United States.,Online,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15600,wizard.html,HTML,181250,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265227/immigration_documents/originals/usa/batch_process/wizard.html
22,USA,Work Visa,Temporary Worker Visas,,Information regarding temporary worker visas for employment in the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/employment.html,USA embassy Work Visa visa application,downloads/usa/batch_process/employment.html,HTML,validated_with_warnings,2025-07-23 10:07:04.922841,2025-07-23 10:07:04.922841,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,Individuals seeking temporary employment in the United States.,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4558,employment.html,HTML,102355,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265209/immigration_documents/originals/usa/batch_process/employment.html
21,USA,Temporary Worker Visa,Petition for a Nonimmigrant Worker,I-129,Form used to petition for a nonimmigrant worker to come to the U.S. for temporary employment.,USCIS,https://travel.state.gov/content/travel/en/us-visas/employment/temporary-worker-visas.html,USA embassy Work Visa visa application,downloads/usa/batch_process/temporary-worker-visas.html,HTML,validated_with_warnings,2025-07-23 10:06:47.841892,2025-07-23 10:06:47.841892,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,Foreign citizens seeking temporary employment in the U.S.,Mail,"Varies, typically several months",$460,English,Petitioner's Information,text,Details about the employer filing the petition.,ABC Corporation,Beneficiary's Information,text,Details about the foreign worker for whom the petition is being filed.,John Doe,Job Offer Details,text,Information about the job being offered to the foreign worker.,Software Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labor Certification (if required); Proof of Employer's Ability to Pay; Beneficiary's Educational Credentials; Job Offer Letter,4,19015,temporary-worker-visas.html,HTML,156992,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265186/immigration_documents/originals/usa/batch_process/temporary-worker-visas.html
20,USA,Exchange Visitor Visa,Online Nonimmigrant Visa Application,DS-160,Application for individuals wishing to participate in exchange visitor programs in the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/study/exchange.html,USA consulate Work Visa visa application,downloads/usa/batch_process/exchange.html,HTML,validated_with_warnings,2025-07-23 10:06:24.109392,2025-07-23 10:06:24.109392,Processing times for visa application not specified; Submission methods for required documents not detailed; No mention of potential additional fees based on nationality beyond issuance fee,3,Pending Review,,,,Foreign nationals wishing to participate in exchange visitor programs.,Online,Varies by location and season; applicants should apply early.,$185 application fee; issuance fee may apply based on nationality.,English,Full Name,text,Applicant's full legal name as it appears on their passport.,John Doe,Date of Birth,date,Applicant's date of birth.,1990-01-01,Passport Number,text,The number of the applicant's passport.,123456789,SEVIS ID,text,The unique identifier for the applicant's SEVIS registration.,N1234567890,,,,,,,,,,,,,,,,,,,,,,,,,"Passport; Form DS-2019, Certificate of Eligibility for Exchange Visitor Status; SEVIS I-901 fee payment receipt; Photo meeting the specified requirements",4,20270,exchange.html,HTML,159799,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265161/immigration_documents/originals/usa/batch_process/exchange.html
19,USA,Work Visa,Visa Appointment Wait Times,,Information regarding the wait times for visa appointments at U.S. embassies and consulates.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/wait-times.html,USA consulate Work Visa visa application,downloads/usa/batch_process/wait-times.html,HTML,validated_with_warnings,2025-07-23 10:05:59.260831,2025-07-23 10:05:59.260831,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,"Individuals applying for U.S. visas, particularly work visas.",,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16873,wait-times.html,HTML,167915,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265143/immigration_documents/originals/usa/batch_process/wait-times.html
18,USA,Work Visa,Visa Services Fee Information,,Information regarding the fees associated with U.S. visa services.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/fees/fees-visa-services.html,USA consulate Work Visa visa application,downloads/usa/batch_process/fees-visa-services.html,HTML,validated_with_warnings,2025-07-23 10:05:40.961440,2025-07-23 10:05:40.961440,Fee amounts for specific visa categories are missing; Processing times for visa applications are not specified; Submission methods for visa applications are unclear; No information on reciprocity agreements with specific countries provided,4,Pending Review,,,,Individuals applying for U.S. visas,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19467,fees-visa-services.html,HTML,177136,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265123/immigration_documents/originals/usa/batch_process/fees-visa-services.html
17,USA,Work Visa,Nonimmigrant Visa Application,DS-160,Application form for nonimmigrant visas to the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas.html,USA consulate Work Visa visa application,downloads/usa/batch_process/us-visas.html,HTML,validated_with_warnings,2025-07-23 10:05:21.367238,2025-07-23 10:05:21.367238,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,Foreign nationals seeking to work in the United States.,Online,Varies by visa category and consulate,Varies by visa category,English,Full Name,text,The applicant's full legal name.,John Doe,Date of Birth,date,The applicant's date of birth.,1990-01-01,Passport Number,text,The number of the applicant's passport.,123456789,Purpose of Travel,text,The reason for traveling to the United States.,Employment,,,,,,,,,,,,,,,,,,,,,,,,,Passport; Photograph; Employment Offer Letter; Form I-129 (if applicable),4,5351,us-visas.html,HTML,102014,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265096/immigration_documents/originals/usa/batch_process/us-visas.html
16,USA,Work Visa,Various Visa Application Forms,,"A collection of forms required for various U.S. visa applications, including work visas.",U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/forms.html,USA Work Visa visa application forms official government,downloads/usa/batch_process/forms.html,HTML,validated_with_warnings,2025-07-23 10:04:54.426933,2025-07-23 10:04:54.426933,Fee amount missing for each visa category; Processing times not specified for visa applications; Submission method details are vague; specific instructions for each method are not provided; No specific links provided for detailed instructions on each form,4,Pending Review,,,,"Individuals applying for U.S. visas, including work, study, and immigration.","Online, Mail, In-person",,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13584,forms.html,HTML,169499,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265077/immigration_documents/originals/usa/batch_process/forms.html
15,USA,Nonimmigrant Visa,Online Nonimmigrant Visa Application,DS-160,Application form for individuals seeking a nonimmigrant visa to enter the United States.,U.S. Department of State,https://travel.state.gov/content/travel/en/us-visas/visa-information-resources/forms/ds-160-online-nonimmigrant-visa-application.html,USA Work Visa visa application process official site,downloads/usa/batch_process/ds-160-online-nonimmigrant-visa-application.html,HTML,validated,2025-07-23 10:04:33.523717,2025-07-23 10:04:33.523717,,0,Pending Review,,,,Individuals applying for a nonimmigrant visa to the United States.,Online,Varies by consulate,Varies by visa type,English,Personal Information,text,"Full name, date of birth, and other personal details.",John Doe,Passport Information,text,Details about the applicant's passport.,Passport Number: 123456789,Travel Information,text,Details regarding the applicant's travel plans.,Intended date of arrival: 2023-12-01,Contact Information,text,Applicant's contact details.,Email: johndoe@example.com,,,,,,,,,,,,,,,,,,,,,,,,,Passport; Photograph; Visa application fee receipt,3,13255,ds-160-online-nonimmigrant-visa-application.html,HTML,165425,https://res.cloudinary.com/dnvkchfnk/raw/upload/v1753265050/immigration_documents/originals/usa/batch_process/ds-160-online-nonimmigrant-visa-application.html
14,USA,Work Visa,Employment Visa Categories,,Overview of various employment-based nonimmigrant and immigrant visa categories.,USCIS,https://www.uscis.gov/sites/default/files/document/presentations/Employment%20Visa%20Categories.pdf,USA immigration Work Visa requirements PDF official,downloads/usa/batch_process/Employment20Visa20Categories.pdf,PDF,validated_with_warnings,2025-07-23 10:04:07.995908,2025-07-23 10:04:07.995908,Fee amount missing for all visa categories; Processing time not specified for all visa categories; Submission method unclear for all visa categories; No information on annual cap specifics for E-3 Visa; L-1 visa categories do not specify the required documentation for petitioning; P-4 visa category lacks detailed eligibility requirements,6,Pending Review,,,,Individuals seeking employment-based visas in the United States.,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8697,Employment20Visa20Categories.pdf,PDF,253603,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753265016/immigration_documents/originals/usa/batch_process/Employment20Visa20Categories.pdf
13,USA,Work Visa,Immigrant Petition for Alien Workers,I-140,This form is used to petition for an alien worker to become a permanent resident in the United States based on employment.,U.S. Citizenship and Immigration Services (USCIS),https://www.uscis.gov/sites/default/files/document/forms/i-140.pdf,USA immigration Work Visa requirements PDF official,downloads/usa/batch_process/i-140.pdf,PDF,validated,2025-07-23 10:03:34.334809,2025-07-23 10:03:34.334809,,0,Pending Review,,,,Employers filing for foreign workers or individuals seeking permanent residency based on employment.,Mail or Online,6-12 months,$700,English,Family Name,text,Last name of the person for whom the petition is being filed.,Doe,Given Name,text,First name of the person for whom the petition is being filed.,John,Company or Organization Name,text,Name of the company or organization filing the petition.,Tech Innovations Inc.,IRS Employer Identification Number (EIN),text,The EIN of the employer filing the petition.,12-3456789,Country of Birth,text,Country where the person for whom the petition is filed was born.,Canada,Date of Last Arrival,date,Date when the person last entered the United States.,2023-01-15,,,,,,,,,,,,,,,,,"Labor Certification (if applicable); Evidence of qualifications (degrees, experience); Proof of ability to pay the offered wage",3,14236,i-140.pdf,PDF,524991,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753264985/immigration_documents/originals/usa/batch_process/i-140.pdf
12,USA,Visitor Visa,Visa Information Flyer,,A flyer outlining requirements and information for obtaining a visitor visa to the United States for business or pleasure.,U.S. Department of State,https://travel.state.gov/content/dam/visas/VisaFlyer_March_2014_print.pdf,USA immigration Tourist Visa requirements PDF official,downloads\usa\tourist_visa\VisaFlyer_March_2014_print.pdf,PDF,validated_with_warnings,2025-07-22 11:02:28.310110,2025-07-22 12:00:57.831300,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,Individuals seeking to enter the U.S. temporarily for business or tourism.,In-person at U.S. Embassy or Consulate,Varies by location; typically a few days to several weeks,Assessment fee varies; check the U.S. Embassy or Consulate for details,English,Purpose of Visit,text,"Indicate whether the visit is for business (B-1), pleasure (B-2), or a combination of both (B-1/B-2).",Tourism,Passport,text,A valid passport is required for the visa application process.,Valid until 2025,Visa Application Appointment,date,Schedule an appointment for the visa interview.,2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valid Passport; Visa application form; Photograph; Financial evidence to show the ability to support the stay; Travel itinerary (if applicable),5,8646,VisaFlyer_March_2014_print.pdf,PDF,522559,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753182120/immigration_documents/originals/usa/tourist_visa/VisaFlyer_March_2014_print.pdf
11,USA,Tourist Visa,Nonimmigrant Visa Application,DS-156,Application form for individuals seeking a nonimmigrant visa for visits to the United States for tourism or business.,U.S. Department of State,https://travel.state.gov/content/dam/visas/DS-156.pdf,USA immigration Tourist Visa requirements PDF official,downloads\usa\tourist_visa\DS-156.pdf,PDF,validated_with_warnings,2025-07-22 11:01:46.826484,2025-07-22 11:01:46.826484,"Fees and processing times are mentioned but not specified in the content.; Submission methods are described but not detailed, lacking specific options for online, mail, or in-person submission.; Potential ambiguity in intended address during stay in the U.S., as it requires a full address not specified in the content.; Passport-size photograph requirement is mentioned but lacks details on specific dimensions or recentness.; No information provided on supporting document requirements beyond general mention.",5,Pending Review,,,,Individuals applying for B-1/B-2 visas for tourism or business purposes.,"Online, Mail, or In-person",Varies,Varies,English,Passport Number,text,The unique number assigned to your passport.,123456789,Place of Issuance,text,The city and country where your passport was issued.,"Los Angeles, USA",Date of Birth,date,Your birth date in the format dd-mmm-yyyy.,01-Jan-1990,Home Address,text,"Your full residential address including apartment number, street, city, state or province, postal zone, and country.","456 Elm St, Springfield, IL, 62704, USA",Marital Status,text,Your current marital status.,Single,Purpose of Trip,text,The main reason for traveling to the United States.,Tourism,Have you ever been in the U.S.?,text,Indicate if you have previously traveled to the United States.,Yes,Spouse's Full Name,text,"Full name of your spouse, including the maiden name if applicable.",Jane Doe,,,,,,,,,Passport; Photograph; Proof of financial means; Travel itinerary,4,7223,DS-156.pdf,PDF,108230,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753182070/immigration_documents/originals/usa/tourist_visa/DS-156.pdf
10,USA,Permanent Residence,Application to Replace Permanent Resident Card,I-90,Used by lawful permanent residents to apply for a replacement of their Permanent Resident Card.,U.S. Citizenship and Immigration Services (USCIS),https://www.uscis.gov/sites/default/files/document/forms/i-90.pdf,USA immigration Permanent Residence requirements PDF official,downloads/usa/permanent_residence/i-90.pdf,PDF,validated,2025-07-22 10:56:03.691667,2025-07-22 10:56:03.691667,,0,Pending Review,,,,Lawful Permanent Residents needing to replace or update their Permanent Resident Card.,Mail or Online (through USCIS account),"Varies, typically 6-12 months",$540,English,Alien Registration Number (A-Number),text,Unique identification number assigned to a noncitizen.,A123456789,USCIS Online Account Number,text,Number assigned to the applicant's online account.,123456789,Full Name,text,Applicant's name as printed on their current Permanent Resident Card.,John Doe,Date of Birth,date,Applicant’s date of birth in mm/dd/yyyy format.,01/01/1990,Reason for Application,text,Select one reason for applying.,"My previous card has been lost, stolen, or destroyed.",,,,,,,,,,,,,,,,,,,,,Existing Permanent Resident Card (if applicable); Evidence of legal name change (if applicable),2,13964,i-90.pdf,PDF,508291,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753181738/immigration_documents/originals/usa/permanent_residence/i-90.pdf
9,USA,Family-Based Immigration,Petition for Alien Relative,I-130,Form used to establish a relationship to certain alien relatives wishing to immigrate to the United States.,USCIS,https://www.uscis.gov/sites/default/files/document/forms/i-130instr.pdf,USA immigration Permanent Residence requirements PDF official,downloads/usa/permanent_residence/i-130instr.pdf,PDF,validated_with_warnings,2025-07-22 10:55:36.640804,2025-07-22 10:55:36.640804,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,U.S. citizens and lawful permanent residents seeking to petition for eligible relatives.,Mail (specific address provided in the instructions),Varies; consult current USCIS processing times.,$535,English,Petitioner's Name,text,The name of the individual filing the petition.,John Doe,Beneficiary's Name,text,The name of the relative for whom the petition is being filed.,Jane Doe,Relationship to Beneficiary,text,"The nature of the relationship to the beneficiary (spouse, child, etc.).",Spouse,Address,text,The residential address of the petitioner.,"123 Main St, Anytown, USA",Date of Birth,date,The date of birth of the petitioner and the beneficiary.,01/01/1980,,,,,,,,,,,,,,,,,,,,,"Proof of U.S. citizenship or lawful permanent resident status; Evidence of relationship (marriage certificate, birth certificates, etc.); Form I-130A, Supplemental Information for Spouse Beneficiary, if applicable",3,38449,i-130instr.pdf,PDF,290330,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753181716/immigration_documents/originals/usa/permanent_residence/i-130instr.pdf
8,USA,Permanent Residence,Application to Register Permanent Residence or Adjust Status,I-485,This form is used by individuals in the United States to apply for lawful permanent resident status.,U.S. Citizenship and Immigration Services,https://www.uscis.gov/sites/default/files/document/forms/i-485.pdf,USA immigration Permanent Residence requirements PDF official,downloads/usa/permanent_residence/i-485.pdf,PDF,validated,2025-07-22 10:55:14.392050,2025-07-22 10:55:14.392050,,0,Pending Review,,,,Individuals applying for adjustment of status to become lawful permanent residents.,Mail to the designated USCIS service center based on the applicant's location.,Varies; typically several months depending on case complexity and service center workload.,"$1,140 for the application; additional fees may apply for biometrics.",English,Current Legal Name,text,The applicant's current legal name without any nicknames.,"Doe, John",Date of Birth,date,Date of birth in the format mm/dd/yyyy.,01/15/1990,Country of Citizenship or Nationality,text,The country where the applicant holds citizenship.,United States,Current U.S. Physical Address,text,The current physical address of the applicant in the U.S.,"123 Main St, Springfield, IL 62704",,,,,,,,,,,,,,,,,,,,,,,,,Passport; Form I-693 (medical examination report),2,53960,i-485.pdf,PDF,1203646,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753181684/immigration_documents/originals/usa/permanent_residence/i-485.pdf
7,USA,Permanent Residence,Application to Register Permanent Residence or Adjust Status,I-485,Form I-485 is used by individuals in the U.S. to apply for lawful permanent resident status.,U.S. Citizenship and Immigration Services (USCIS),https://www.uscis.gov/sites/default/files/document/forms/i-485instr.pdf,USA immigration Permanent Residence requirements PDF official,downloads/usa/permanent_residence/i-485instr.pdf,PDF,validated,2025-07-22 10:54:42.514194,2025-07-22 10:54:42.514194,,0,Pending Review,,,,Individuals physically present in the U.S. seeking to become lawful permanent residents.,Mail,6-12 months,"$1,140 plus biometrics fee",English,Application Type or Filing Category,text,Indicates the immigrant category under which the applicant is filing.,Family-based,Personal Information,text,"Basic information including full name, date of birth, and country of birth.","John Doe, 01/01/1990, USA",Eligibility Confirmation,text,Eligibility questions related to adjustment of status.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current passport; Photograph(s); I-94 Arrival/Departure Record; Evidence of eligibility for adjustment of status,4,149777,i-485instr.pdf,PDF,688883,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753181653/immigration_documents/originals/usa/permanent_residence/i-485instr.pdf
6,USA,Student Visa,Welcome to the United States: A Guide for New Immigrants,M-618,A guide for new immigrants providing essential information about living in the United States.,U.S. Citizenship and Immigration Services (USCIS),https://www.uscis.gov/sites/default/files/document/guides/M-618.pdf,USA immigration Student Visa requirements PDF official,downloads\usa\student_visa\M-618.pdf,PDF,validated_with_warnings,2025-07-22 09:10:58.707883,2025-07-22 09:10:58.707883,Fee amount missing; Processing time not specified; Submission method unclear,3,Pending Review,,,,New immigrants and permanent residents in the United States,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,162018,M-618.pdf,PDF,3746667,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753175416/immigration_documents/originals/usa/student_visa/M-618.pdf
5,USA,Work Visa,Application for Employment Authorization,I-765,Form I-765 is used by certain foreign nationals in the U.S. to apply for an Employment Authorization Document (EAD).,USCIS,https://www.uscis.gov/sites/default/files/document/forms/i-765instr-feerule.pdf,USA work permit application guide official,downloads\usa\work_visa\i-765instr-feerule.pdf,PDF,validated_with_warnings,2025-07-22 07:50:09.862966,2025-07-22 07:50:09.862966,Fee amount missing; Processing time not specified; Submission method unclear; Unclear eligibility requirements for c8 category applicants regarding timeline,4,Pending Review,,,,Foreign nationals in the U.S. requesting employment authorization.,Mail,Varies,Varies,English,Eligibility Category,text,The category under which the applicant is eligible to work.,(a)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Form I-94, Arrival-Departure Record; Final Notice of Eligibility for Resettlement; Form I-797 Notice; USCIS Asylum approval letter; EOIR IJ's signed order",5,116349,i-765instr-feerule.pdf,PDF,429348,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753170575/immigration_documents/originals/usa/work_visa/i-765instr-feerule.pdf
4,USA,Employment Authorization,Employment Eligibility Verification,I-9,Form I-9 is used to document verification of the identity and employment authorization of each new employee hired in the United States.,US Citizenship and Immigration Services (USCIS),https://www.uscis.gov/sites/default/files/document/forms/i-9instr.pdf,USA work permit application guide official,downloads\usa\work_visa\i-9instr.pdf,PDF,validated,2025-07-22 07:49:27.964816,2025-07-22 07:49:27.964816,,0,Pending Review,,,,Employers and employees in the U.S. responsible for completing employment eligibility verification.,Not submitted to USCIS; retained by employer.,Not applicable as the form is not submitted for processing.,No filing fee associated with Form I-9.,English,Employee Current Legal Name,text,The current legal name of the employee.,John Smith,Employee Current Address,text,The complete address of the employee.,"123 Main St, Anytown, USA",Date of Birth,date,The employee's date of birth.,1990-01-01,Social Security Number,text,The employee's 9-digit Social Security number (voluntary).,123-45-6789,,,,,,,,,,,,,,,,,,,,,,,,,"Acceptable documentation for employment verification (e.g., Passport, Green Card, Driver's License)",1,28696,i-9instr.pdf,PDF,297017,https://res.cloudinary.com/dnvkchfnk/image/upload/v1753170537/immigration_documents/originals/usa/work_visa/i-9instr.pdf
